Qty,Value,Package,Part / spec,Refs,Subsystem,Note
3,BC857,SOT-23,BC857B,Q3 Q4 Q5,Analog inputs,PNP pass device in the sender current source
2,62R 1%,0603,,R20 R21,Analog inputs,
1,249R 1%,0603,,R22,Analog inputs,
5,4.7k,0603,,R26 R27 R28 R87 R187,Analog inputs,
1,90.9k 1%,0603,,R71,Analog inputs,
2,100k 1%,0603,,R85 R185,Analog inputs,
2,22k 1%,0603,,R86 R186,Analog inputs,
1,120R 3W,axial power L20.0 / pitch 25.40,,R88,Analog inputs,"3 W axial — D+ excitation, ~1.2 W continuous in a charge-fail"
2,LM358,SOIC-8,LM358DR,U3 U4,Analog inputs,U3: sender current sources 1-2; U4: sender current source 3 + spare
9,22nF C0G,0603,,C40 C41 C42 C43 C44 C45 C50 C51 C52,AC sensing,"C0G/NP0 — anti-alias filters, needs low drift"
3,SMBJ6.0CA,SMB,SMBJ6.0CA,D50 D51 D52,AC sensing,bidirectional TVS at the CT terminals
1,Screw_Terminal_GEN,screw terminal 5.08mm x08 (power),,J5,AC sensing,
1,Screw_Terminal_MAINS,screw terminal 5.08mm x08 (power),,J6,AC sensing,
1,Screw_Terminal_CT,screw terminal 5.08mm x06 (power),,J7,AC sensing,
3,0.05R 3W,2512,,R50 R55 R59,AC sensing,"3 W 2512 current-sense (Kelvin pads), 1 %"
3,6.8k 1%,0603,,R53 R58 R66,AC sensing,1 % — phase-matches the AC voltage channel; PF accuracy depends on it (6.8k 1% (phase match))
1,47R,0603,,R92,AC sensing,
24,330k 1206,1206,,R300 R301 R302 R303 R310 R311 R312 R313 R320 R321 R322 R323 R330 R331 R332 R333 R340 R341 R342 R343 R350 R351 R352 R353,AC sensing,"200 V element rating, 1 % — AC divider chain"
6,5.62k 1%,0603,,R304 R314 R324 R334 R344 R354,AC sensing,
3,MCP6002,SOIC-8,MCP6002-I/SN,U8 U9 U10,AC sensing,U8: VREF_MID buffer; U9: CT amps 1-2; U10: CT amp 3 + spare
1,100nF 100V,0805,,C30,Digital inputs + MPU,X7R 100 V — MPU AC coupling
8,1uF 50V,0603,,C201 C202 C203 C204 C205 C206 C207 C208,Digital inputs + MPU,"DIN debounce, tau approximately 1.4 ms with the 5.6k/1.8k divider"
8,BAT54S,SOT-23,BAT54S,D10 D11 D12 D13 D14 D15 D16 D17,Digital inputs + MPU,"dual series Schottky clamp, SOT-23"
1,BAV99,SOT-23,BAV99,D30,Digital inputs + MPU,"dual switching diode, SOT-23"
1,Screw_Terminal_DIN,screw terminal 5.08mm x10 (signal),,J2,Digital inputs + MPU,
1,Screw_Terminal_MPU,screw terminal 5.08mm x02 (signal),,J4,Digital inputs + MPU,
8,GND-side sw,solder jumper,,JP4 JP5 JP6 JP7 JP8 JP9 JP10 JP11,Digital inputs + MPU,
1,1M,0603,,R36,Digital inputs + MPU,"MPU comparator hysteresis, ±79 mV with the 100 k bias pair (1M (hyst +/-80mV))"
8,5.6k 0.5W,1210,,R201 R202 R203 R204 R205 R206 R207 R208,Digital inputs + MPU,"0.5 W / 1210 — DIN divider top leg, sized for 1.6 mA wetting at 12 V"
8,1.8k,0603,,R211 R212 R213 R214 R215 R216 R217 R218,Digital inputs + MPU,
8,2.2k 0.5W,1210,,R231 R232 R233 R234 R235 R236 R237 R238,Digital inputs + MPU,
1,LM2903,SOIC-8,LM2903DR,U5,Digital inputs + MPU,MPU comparator
1,Screw_Terminal_RELAY_OUT,screw terminal 5.08mm x06 (power),,J8,Relay drivers,
1,Screw_Terminal_CONTACTOR,screw terminal 5.08mm x08 (power),,J15,Relay drivers,
6,G5LE-1 12V,G5LE THT,G5LE-1-DC12,K1 K2 K3 K4 K5 K6,Relay drivers,"Omron SPDT, 12 V coil (360 ohm / 33 mA). Contacts are PILOT DUTY: 8 A DC max, and a 12 V starter solenoid pulls 20-40 A"
6,2N7002K 60V,SOT-23,2N7002K,Q60 Q61 Q62 Q63 Q64 Q65,Relay drivers,"60 V logic-level FET, relay driver"
6,100R,0603,,R60 R62 R67 R69 R76 R110,Relay drivers,
1,4.7nF,0603,,C70,Comms,
1,Screw_Terminal_CAN,screw terminal 5.08mm x03 (signal),,J9,Comms,
1,Screw_Terminal_RS485,screw terminal 5.08mm x03 (signal),,J10,Comms,
1,CAN term,solder jumper,,JP1,Comms,CAN term (bus ends)
1,485 term,solder jumper,,JP2,Comms,
1,120R,0603,,R72,Comms,
2,560R fail-safe,0603,,R73 R74,Comms,
2,60.4R,0603,,R78 R79,Comms,
1,TJA1051T/3,SOIC-8,TJA1051T/3,U6,Comms,"CAN transceiver, 3.3 V IO"
1,THVD1450,SOIC-8,THVD1450DR,U7,Comms,"RS485, true fail-safe receiver"
1,M95M02-DR,SOIC-8,M95M02-DRMN6TP,U11,Comms,2 Mbit SPI EEPROM
2,12pF,0603,,C72 C73,MCU,C0G — HSE load caps
2,6.8pF,0603,,C74 C75,MCU,C0G — LSE load caps
1,0.22F supercap,radial D10.0 / P5.00,0.22 F 5.5 V EDLC coin,C76,MCU,"RTC backup, radial D10/P5.0"
1,4.7uF,SMD electrolytic 4x5.4,,C77,MCU,
1,1uF,0603,,C80,MCU,
1,10nF,0603,,C81,MCU,
1,BAT54,SOD-123,BAT54GWX,D70,MCU,supercap isolation Schottky
1,green,0805,green 0805 LED,DS1,MCU,heartbeat
1,600R@100MHz,0603,BLM18PG600SN1,FB2,MCU,ferrite bead 0603 — VDDA filter
1,TC2030 SWD,TC2030 pads (no part),Tag-Connect TC2030-IDC-NL,J11,MCU,"footprint only, no fitted part"
1,DEBUG_UART,header 1x3 2.54mm,1x3 2.54 header,J14,MCU,debug UART
1,BOOT0->3V3,solder jumper,,JP3,MCU,
1,330R,0603,,R81,MCU,
1,STM32F407VGT6,LQFP-100,STM32F407VGT6,U12,MCU,LQFP-100
1,8MHz,HC-49SD,"8 MHz HC-49SD, CL 10 pF",Y1,MCU,HSE
1,32.768kHz,3215 SMD,"32.768 kHz 3215, CL 6 pF",Y2,MCU,LSE / RTC
1,Ribbon 20-way,IDC 2x10 latched,"2x10 IDC header, latched",J12,Display connector,display ribbon
26,100nF,0603,,C2 C4 C20 C21 C22 C31 C60 C63 C64 C65 C66 C67 C71 C85 C86 C90 C92 C93 C96 C97 C100 C101 C102 C103 C104 C105,"shared: AC sensing, Analog inputs, Comms, Digital inputs + MPU, MCU, Power",
3,2.2uF,0603,,C7 C78 C79,"shared: MCU, Power",
2,10uF,0805,,C8 C91,"shared: AC sensing, Power",
7,SS34,SMA,SS34,D3 D60 D61 D62 D63 D64 D65,"shared: Power, Relay drivers","3 A Schottky flyback, SMA"
11,BAV199,SOT-23,BAV199,D20 D21 D22 D40 D41 D42 D43 D44 D45 D81 D82,"shared: AC sensing, Analog inputs","low-leakage dual diode, SOT-23"
10,100k,0603,,R1 R2 R31 R32 R61 R63 R68 R75 R77 R111,"shared: Digital inputs + MPU, Power, Relay drivers",
13,1k,0603,,R18 R19 R23 R24 R25 R29 R99 R305 R315 R325 R335 R345 R355,"shared: AC sensing, Analog inputs, MCU",
19,10k,0603,,R30 R33 R34 R35 R37 R38 R80 R93 R95 R96 R97 R221 R222 R223 R224 R225 R226 R227 R228,"shared: AC sensing, Comms, Digital inputs + MPU, MCU",
9,10k 1%,0603,,R51 R52 R56 R57 R64 R65 R70 R90 R91,"shared: AC sensing, Analog inputs",1 % — CT gain pairs (1 + R52/R51 = 2) and the VREF divider
